,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,price,has_availability,first_review,last_review,license,instant_bookable,host_id,host_acceptance_rate.1,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price.1,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
5155,Joseph,2012-07-11,"Chicago, IL",within an hour,100%,97.0,0,West Ridge,"['email', 'phone', 'work_email']",t,1,Neighborhood highlights,West Ridge,17,3,2 shared baths,"[""Shower gel"", ""Bidet"", ""Refrigerator"", ""First aid kit"", ""Wifi"", ""Central heating"", ""Noise decibel monitors on property"", ""Stove"", ""Exterior security cameras on property"", ""Breakfast"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Cleaning available during stay"", ""Hangers"", ""Oven"", ""Bathtub"", ""Outdoor furniture"", ""Paid dryer \u2013 In building"", ""Central air conditioning"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Hot water kettle"", ""Body soap"", ""Paid washer \u2013 In building"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""50 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Hulu, Netflix"", ""Game console: PS3"", ""Fire extinguisher"", ""Dishes and silverware"", ""Mini fridge"", ""Coffee maker: drip coffee maker, french press, Keurig coffee machine"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Private backyard \u2013 Fully fenced"", ""Board games"", ""Host greets you"", ""Freezer"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",19.0,t,2023-05-05,2024-08-21,R21000075752,0,2907254,97.0,25.0,42.01569298839194,-87.68731914143763,1.0,2.0,1.0,1.0,19.0,1.0,365,2.0,365.0,6,28,58,333,14.0,12.0,1.0,4.57,4.5,4.57,4.64,4.71,4.57,4.71,0.84
5178,Nonya,2011-06-11,"Chicago, IL",within an hour,94%,82.0,0,Englewood,"['email', 'phone']",t,1,Neighborhood highlights,Auburn Gresham,15,3,3 shared baths,"[""Refrigerator"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Oven"", ""TV"", ""Air conditioning"", ""Patio or balcony"", ""Pool table"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",29.0,t,2023-05-15,2023-10-12,R17000014173,0,691000,82.0,37.0,41.9,-87.65617527832131,6.0,3.0,1.0,6.0,29.0,32.0,365,32.0,365.0,0,12,42,317,3.0,1.0,0.0,5.0,5.0,4.67,5.0,5.0,5.0,5.0,0.18
5190,Jay,2021-01-26,"Chicago, IL",a few days or more,0%,50.0,0,Englewood,"['email', 'phone']",t,1,No specified,Englewood,17,3,1 shared bath,"[""Refrigerator"", ""Stainless steel oven"", ""Self check-in"", ""Wifi"", ""Central heating"", ""Stove"", ""Exterior security cameras on property"", ""Free parking on premises"", ""Bathtub"", ""TV"", ""Air conditioning"", ""Lockbox"", ""Free washer \u2013 In building"", ""Dishes and silverware"", ""Hair dryer"", ""Cleaning products"", ""Free dryer \u2013 In building"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Coffee maker: Keurig coffee machine"", ""Smoke alarm"", ""Free street parking"", ""Freezer"", ""Ceiling fan"", ""Kitchen"", ""Microwave"", ""Hot water""]",38.0,t,31/12/2030,31/12/2030,Without license,1,386172585,96.0,4.0,41.76606992925315,-87.6512453180125,1.0,1.0,1.0,1.0,38.0,32.0,365,32.0,365.0,30,60,90,365,0.0,0.0,0.0,4.8,4.5,4.9,4.8,4.9,4.9,4.8,0.21
5195,Nonya,2011-06-11,"Chicago, IL",within an hour,94%,82.0,0,Englewood,"['email', 'phone']",t,1,Neighborhood highlights,Auburn Gresham,15,3,3 shared baths,"[""Refrigerator"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Oven"", ""TV"", ""Air conditioning"", ""Patio or balcony"", ""Pool table"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",35.0,t,2024-08-07,2024-08-07,R17000014173,0,691000,82.0,37.0,41.9,-87.65615626273599,2.0,3.0,1.0,4.0,35.0,32.0,365,32.0,365.0,28,58,88,363,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.8,0.71
5196,Nonya,2011-06-11,"Chicago, IL",within an hour,94%,82.0,0,Englewood,"['email', 'phone']",t,1,Neighborhood highlights,Auburn Gresham,15,3,3 shared baths,"[""Refrigerator"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Oven"", ""TV"", ""Air conditioning"", ""Patio or balcony"", ""Pool table"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",29.0,t,2023-06-23,2024-08-13,R17000014173,0,691000,82.0,37.0,41.9,-87.65488761954482,2.0,3.0,1.0,6.0,29.0,32.0,365,32.0,365.0,0,29,59,334,2.0,1.0,0.0,4.8,5.0,5.0,5.0,5.0,4.9,4.8,0.13
5226,Nonya,2011-06-11,"Chicago, IL",within an hour,94%,82.0,0,Englewood,"['email', 'phone']",t,1,Neighborhood highlights,South Chicago,15,3,2 shared baths,"[""Refrigerator"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Oven"", ""TV"", ""Air conditioning"", ""Patio or balcony"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",29.0,t,2023-09-30,2023-09-30,R17000014173,0,691000,82.0,37.0,41.9,-87.56395996098384,1.0,2.0,1.0,2.0,29.0,32.0,365,32.0,365.0,27,57,87,362,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.08
5260,Nonya,2011-06-11,"Chicago, IL",within an hour,94%,82.0,0,Englewood,"['email', 'phone']",t,1,No specified,Auburn Gresham,15,3,3 shared baths,"[""Refrigerator"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Oven"", ""TV"", ""Air conditioning"", ""Patio or balcony"", ""Pool table"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",35.0,t,31/12/2030,31/12/2030,R17000014173,0,691000,82.0,37.0,41.9,-87.65597,2.0,3.0,1.0,2.0,35.0,32.0,365,32.0,365.0,29,59,89,364,0.0,0.0,0.0,4.8,4.95,4.9,4.8,5.0,4.9,4.8,0.14
5261,Nonya,2011-06-11,"Chicago, IL",within an hour,94%,82.0,0,Englewood,"['email', 'phone']",t,1,No specified,Auburn Gresham,15,3,3 shared baths,"[""Refrigerator"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Oven"", ""TV"", ""Air conditioning"", ""Patio or balcony"", ""Pool table"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",29.0,t,2024-02-13,2024-02-13,R17000014173,0,691000,82.0,37.0,41.9,-87.65459087115875,2.0,3.0,1.0,6.0,29.0,32.0,365,32.0,365.0,17,47,77,352,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,4.9,5.0,0.14
5266,Nonya,2011-06-11,"Chicago, IL",within an hour,94%,82.0,0,Englewood,"['email', 'phone']",t,1,No specified,Auburn Gresham,15,3,3 shared baths,"[""Refrigerator"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Oven"", ""TV"", ""Air conditioning"", ""Patio or balcony"", ""Pool table"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",29.0,t,2023-10-30,2023-10-30,R17000014173,0,691000,82.0,37.0,41.9,-87.65354250178169,2.0,3.0,1.0,4.0,29.0,32.0,365,32.0,365.0,5,35,65,340,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.09
5268,Nonya,2011-06-11,"Chicago, IL",within an hour,94%,82.0,0,Englewood,"['email', 'phone']",t,1,No specified,South Chicago,15,3,2 shared baths,"[""Refrigerator"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Oven"", ""TV"", ""Air conditioning"", ""Patio or balcony"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",29.0,t,2023-06-25,2023-06-25,R17000014173,0,691000,82.0,37.0,41.9,-87.56400183245147,1.0,2.0,1.0,2.0,29.0,32.0,365,32.0,365.0,23,53,83,358,1.0,0.0,0.0,4.8,4.9,4.9,4.9,4.9,4.9,4.8,0.07
5351,Robert,2022-07-19,No location,within an hour,100%,100.0,0,Sheffield & DePaul,['phone'],t,1,No specified,Lincoln Park,15,3,1 shared bath,"[""Smoke alarm"", ""First aid kit"", ""Wifi"", ""Fire extinguisher"", ""Air conditioning"", ""Kitchen""]",70.0,t,31/12/2030,31/12/2030,Without license,1,470462049,100.0,6.0,41.92775,-87.65058,4.0,1.0,1.5,3.0,70.0,32.0,65,32.0,65.0,30,60,90,90,0.0,0.0,0.0,4.8,4.96,4.9,4.8,5.0,4.9,4.8,0.22
5431,Nonya,2011-06-11,"Chicago, IL",within an hour,94%,82.0,0,Englewood,"['email', 'phone']",t,1,No specified,Auburn Gresham,15,3,3 shared baths,"[""Refrigerator"", ""First aid kit"", ""Backyard"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Oven"", ""TV"", ""Air conditioning"", ""Patio or balcony"", ""Pool table"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",29.0,t,2023-08-15,2024-07-31,R17000014174,0,691000,82.0,37.0,41.9,-87.65584,2.0,3.0,1.0,6.0,29.0,32.0,365,32.0,365.0,0,0,10,285,2.0,1.0,0.0,4.5,5.0,5.0,5.0,5.0,4.9,5.0,0.15
5568,Loki,2018-12-02,"Leesburg, VA",Not defined,0%,0.0,0,West Town,"['email', 'phone']",t,1,No specified,West Town,15,3,1 shared bath,"[""Smoke alarm"", ""First aid kit"", ""Free parking on premises"", ""Keypad"", ""Self check-in"", ""Wifi"", ""Fire extinguisher"", ""TV"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Washer""]",250.0,t,31/12/2030,31/12/2030,Without license,1,228789367,96.0,2.0,41.9083135758486,-87.68976625425337,2.0,1.0,1.5,1.0,250.0,32.0,365,32.0,365.0,30,60,90,270,0.0,0.0,0.0,4.8,4.86,4.9,4.8,5.0,4.9,4.8,0.4
5736,Toy,2021-02-21,"Chicago, IL",within an hour,100%,97.0,0,Bridgeport,['phone'],t,1,No specified,Douglas,15,3,2 shared baths,"[""Dishwasher"", ""Dove body soap"", ""Coffee"", ""Long term stays allowed"", ""Shared gym nearby"", ""Mosquito net"", ""Hair dryer"", ""Bed linens"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Free street parking"", ""Safe"", ""Portable fans"", ""Ceiling fan"", ""Microwave"", ""Hot tub"", ""Pocket wifi"", ""BBQ grill"", ""Central heating"", ""Wine glasses"", ""Hangers"", ""Private patio or balcony"", ""Bathtub"", ""Dove conditioner"", ""Bluetooth sound system"", ""Hot water kettle"", ""Dishes and silverware"", ""Sun loungers"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Mini fridge"", ""Barbecue utensils"", ""Gas stove"", ""Blender"", ""Freezer"", ""Shared beach access"", ""Courtyard view"", ""Kitchen"", ""Cooking basics"", ""Clothing storage: walk-in closet and closet"", ""Shower gel"", ""Refrigerator"", ""Wifi"", ""Free dryer \u2013 In unit"", ""Exercise equipment"", ""Dining table"", ""Cleaning available during stay"", ""Room-darkening shades"", ""TV"", ""Rice maker"", ""Washer"", ""Coffee maker"", ""Books and reading material"", ""Laundromat nearby"", ""City skyline view"", ""Extra pillows and blankets"", ""Paid street parking off premises"", ""Shared backyard \u2013 Fully fenced"", ""Paid parking on premises"", ""First aid kit"", ""Self check-in"", ""Pets allowed"", ""Garden view"", ""Smart lock"", ""Fire pit"", ""Oven"", ""Free parking on premises"", ""Outdoor furniture"", ""Air conditioning"", ""Outdoor dining area"", ""Hammock"", ""Cleaning products"", ""Dove shampoo"", ""Drying rack for clothing"", ""Carbon monoxide alarm"", ""Toaster"", ""Smoke alarm"", ""Baking sheet"", ""Hot water""]",156.0,t,31/12/2030,31/12/2030,Without license,1,389492778,97.0,6.0,41.8453743,-87.6257337,2.0,2.0,2.0,2.0,156.0,32.0,365,32.0,1125.0,30,60,90,270,0.0,0.0,0.0,4.8,4.92,4.9,4.8,4.92,4.9,4.8,3.87
5838,Shengjian,2023-07-27,"Chicago, IL",within an hour,100%,100.0,0,West Pullman,['phone'],f,0,No specified,West Pullman,15,3,1 shared bath,"[""Building staff"", ""Free parking on premises"", ""Hair dryer"", ""Self check-in"", ""Wifi"", ""Pets allowed"", ""Air conditioning"", ""Exterior security cameras on property"", ""Kitchen"", ""Cooking basics"", ""Dedicated workspace"", ""Washer""]",28.0,t,2024-03-18,2024-04-17,R23000106845,1,528219965,100.0,2.0,41.9,-87.63381129999999,1.0,1.0,1.0,1.0,28.0,7.0,28,7.0,28.0,21,51,80,80,2.0,2.0,0.0,4.8,4.9,4.9,4.9,4.9,4.9,4.8,0.33
5918,Toy,2021-02-21,"Chicago, IL",within an hour,100%,97.0,0,Bridgeport,['phone'],t,1,No specified,Douglas,15,3,1 shared bath,"[""Dishwasher"", ""Stove"", ""Coffee"", ""Shampoo"", ""Gym"", ""Sound system"", ""Paid parking off premises"", ""Long term stays allowed"", ""Mosquito net"", ""Hair dryer"", ""Bed linens"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Free street parking"", ""Safe"", ""Portable fans"", ""Ceiling fan"", ""Microwave"", ""Hot tub"", ""Pocket wifi"", ""BBQ grill"", ""Dryer"", ""Wine glasses"", ""Hangers"", ""Bathtub"", ""Patio or balcony"", ""Hot water kettle"", ""Dishes and silverware"", ""Essentials"", ""Sun loungers"", ""Iron"", ""Fire extinguisher"", ""Mini fridge"", ""Barbecue utensils"", ""Blender"", ""Freezer"", ""Kitchen"", ""Cooking basics"", ""Shower gel"", ""Refrigerator"", ""Wifi"", ""Beach access \u2013 Beachfront"", ""Heating"", ""Exercise equipment"", ""Exterior security cameras on property"", ""Dining table"", ""Cleaning available during stay"", ""Room-darkening shades"", ""Clothing storage"", ""TV"", ""Rice maker"", ""Washer"", ""Body soap"", ""Coffee maker"", ""Books and reading material"", ""Laundromat nearby"", ""Extra pillows and blankets"", ""Paid parking on premises"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Pets allowed"", ""Smart lock"", ""Fire pit"", ""Oven"", ""Free parking on premises"", ""Outdoor furniture"", ""Air conditioning"", ""Outdoor dining area"", ""Hammock"", ""Conditioner"", ""Cleaning products"", ""Drying rack for clothing"", ""Carbon monoxide alarm"", ""Toaster"", ""Smoke alarm"", ""Baking sheet"", ""Hot water""]",105.0,t,2024-08-07,2024-08-07,Without license,1,389492778,97.0,6.0,41.845,-87.62659,2.0,1.0,1.0,2.0,105.0,32.0,365,32.0,1125.0,30,60,90,270,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.71
5919,Toy,2021-02-21,"Chicago, IL",within an hour,100%,97.0,0,Bridgeport,['phone'],t,1,Neighborhood highlights,Douglas,15,3,2 shared baths,"[""Dishwasher"", ""Stove"", ""Coffee"", ""Shampoo"", ""Gym"", ""Sound system"", ""Paid parking off premises"", ""Long term stays allowed"", ""Mosquito net"", ""Hair dryer"", ""Bed linens"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Free street parking"", ""Safe"", ""Portable fans"", ""Ceiling fan"", ""Microwave"", ""Hot tub"", ""Pocket wifi"", ""BBQ grill"", ""Dryer"", ""Wine glasses"", ""Hangers"", ""Bathtub"", ""Patio or balcony"", ""Hot water kettle"", ""Dishes and silverware"", ""Essentials"", ""Sun loungers"", ""Iron"", ""Fire extinguisher"", ""Mini fridge"", ""Barbecue utensils"", ""Blender"", ""Freezer"", ""Kitchen"", ""Cooking basics"", ""Shower gel"", ""Refrigerator"", ""Wifi"", ""Beach access \u2013 Beachfront"", ""Heating"", ""Exercise equipment"", ""Exterior security cameras on property"", ""Dining table"", ""Cleaning available during stay"", ""Room-darkening shades"", ""Clothing storage"", ""TV"", ""Rice maker"", ""Washer"", ""Body soap"", ""Coffee maker"", ""Books and reading material"", ""Laundromat nearby"", ""Extra pillows and blankets"", ""Paid parking on premises"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Pets allowed"", ""Smart lock"", ""Fire pit"", ""Oven"", ""Free parking on premises"", ""Outdoor furniture"", ""Air conditioning"", ""Outdoor dining area"", ""Hammock"", ""Conditioner"", ""Cleaning products"", ""Drying rack for clothing"", ""Carbon monoxide alarm"", ""Toaster"", ""Smoke alarm"", ""Baking sheet"", ""Hot water""]",225.0,t,31/12/2030,31/12/2030,Without license,1,389492778,97.0,6.0,41.84455,-87.62663,6.0,2.0,2.0,2.0,225.0,32.0,365,32.0,1125.0,30,60,90,270,0.0,0.0,0.0,4.8,5.0,4.9,4.8,4.9,4.9,4.8,3.4
6499,Emin,2023-12-17,No location,a few days or more,13%,0.0,0,Hyde Park,"['email', 'phone']",t,1,No specified,Hyde Park,17,3,1 shared bath,"[""Smoke alarm"", ""Free parking on premises"", ""Wifi"", ""Fire extinguisher"", ""Air conditioning"", ""Exterior security cameras on property"", ""Kitchen"", ""Carbon monoxide alarm"", ""Washer"", ""Lake access""]",24.0,t,31/12/2030,31/12/2030,Without license,0,551360555,96.0,1.0,41.79784,-87.60336,1.0,1.0,1.5,0.0,24.0,32.0,365,32.0,365.0,12,42,72,252,0.0,0.0,0.0,4.8,4.91,4.9,4.8,4.75,4.9,4.8,2.76
6749,Jeff,2014-03-18,"Chicago, IL",within a few hours,100%,71.0,0,South Chicago,"['email', 'phone', 'work_email']",t,1,Neighborhood highlights,South Chicago,15,3,1.5 shared baths,"[""Shower gel"", ""Refrigerator"", ""First aid kit"", ""Backyard"", ""Wifi"", ""Heating"", ""Dryer"", ""Stove"", ""Shampoo"", ""Hangers"", ""Oven"", ""Free parking on premises"", ""Bathtub"", ""Air conditioning"", ""Long term stays allowed"", ""Hot water kettle"", ""Washer"", ""Body soap"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Dishes and silverware"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Host greets you"", ""Freezer"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",25.0,t,2024-03-24,2024-04-22,R22000090299,0,13270940,96.0,7.0,41.9,-87.56572,4.0,1.5,1.0,4.0,25.0,5.0,365,5.0,365.0,27,57,87,362,2.0,2.0,0.0,4.5,4.5,5.0,4.9,5.0,4.9,5.0,0.34
6750,Jeff,2014-03-18,"Chicago, IL",within a few hours,100%,71.0,0,South Chicago,"['email', 'phone', 'work_email']",t,1,Neighborhood highlights,South Chicago,15,3,1.5 shared baths,"[""Shower gel"", ""Refrigerator"", ""First aid kit"", ""Backyard"", ""Wifi"", ""Heating"", ""Dryer"", ""Stove"", ""Shampoo"", ""Hangers"", ""Oven"", ""Free parking on premises"", ""Bathtub"", ""Long term stays allowed"", ""Hot water kettle"", ""Washer"", ""Body soap"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Dishes and silverware"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Window AC unit"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Freezer"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",25.0,t,2024-02-14,2024-07-31,R22000090299,0,13270940,96.0,7.0,41.9,-87.56384,4.0,1.5,1.0,4.0,25.0,5.0,365,5.0,365.0,6,33,63,338,5.0,5.0,0.0,4.6,4.8,4.8,4.8,4.9,4.8,4.8,0.69
6751,Jeff,2014-03-18,"Chicago, IL",within a few hours,100%,71.0,0,South Chicago,"['email', 'phone', 'work_email']",t,1,Neighborhood highlights,South Chicago,15,3,1.5 shared baths,"[""Shower gel"", ""Refrigerator"", ""First aid kit"", ""Backyard"", ""Wifi"", ""Heating"", ""Dryer"", ""Stove"", ""Shampoo"", ""Hangers"", ""Oven"", ""Free parking on premises"", ""Bathtub"", ""Long term stays allowed"", ""Hot water kettle"", ""Washer"", ""Body soap"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Dishes and silverware"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Window AC unit"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Freezer"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",25.0,t,2024-08-04,2024-08-31,R22000090299,0,13270940,96.0,7.0,41.9,-87.56412,4.0,1.5,1.0,4.0,25.0,5.0,365,5.0,365.0,20,50,80,355,2.0,2.0,1.0,4.8,4.9,4.9,4.9,4.9,4.9,4.5,1.33
7011,Celia,2022-12-06,"Chicago, IL",within an hour,100%,87.0,0,Pulaski Park,"['email', 'phone']",t,1,No specified,West Town,43,3,1 shared bath,"[""Smoke alarm"", ""First aid kit"", ""Wifi"", ""Fire extinguisher"", ""TV"", ""Air conditioning"", ""Noise decibel monitors on property"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Kitchen"", ""Carbon monoxide alarm"", ""Washer""]",66.0,t,2024-04-07,2024-08-25,2948170,1,490523399,87.0,10.0,41.90823324960101,-87.66792271936417,1.0,1.0,1.0,1.0,66.0,1.0,1125,2.0,115.5,24,31,61,336,3.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.55
7088,Celia,2022-12-06,"Chicago, IL",within an hour,100%,87.0,0,Pulaski Park,"['email', 'phone']",t,1,No specified,West Town,44,3,1 shared bath,"[""Smoke alarm"", ""First aid kit"", ""Wifi"", ""Fire extinguisher"", ""TV"", ""Air conditioning"", ""Outdoor dining area"", ""Dedicated workspace"", ""Kitchen"", ""Carbon monoxide alarm"", ""Washer""]",44.0,t,31/12/2030,31/12/2030,2948170,1,490523399,87.0,10.0,41.90654035664381,-87.66849264486393,2.0,1.0,1.0,1.0,44.0,1.0,1125,2.0,125.5,21,28,58,333,0.0,0.0,0.0,4.8,4.9,4.9,4.8,5.0,4.9,4.8,0.27
7816,Kelli,2017-06-26,"Chicago, IL",Not defined,0%,0.0,0,Woodlawn,"['email', 'phone']",t,1,No specified,Woodlawn,45,3,2.5 shared baths,"[""Smoke alarm"", ""First aid kit"", ""Free parking on premises"", ""Self check-in"", ""Wifi"", ""Fire extinguisher"", ""TV"", ""Air conditioning"", ""Lockbox"", ""Exterior security cameras on property"", ""Kitchen"", ""Carbon monoxide alarm"", ""Washer""]",288.0,Unknown,31/12/2030,31/12/2030,R24000119867,0,137153290,96.0,2.0,41.77886,-87.60012,6.0,2.5,1.5,6.0,288.0,2.0,365,2.0,365.0,21,51,81,171,0.0,0.0,0.0,4.8,5.0,4.9,4.8,4.83,4.9,4.8,1.8
